key_date,race_H,goal_H,field_cd_H,from_H,career_c_H,race_F,goal_F,field_cd_F,from_F,career_c_F
12_8_1,2,1,1,177,1,2,1,13,18,6
12_9_1,2,1,1,177,1,6,1,13,129,9
13_8_1,4,2,1,29,1,2,1,13,18,6
13_9_1,4,2,1,29,1,6,1,13,129,9
13_10_1,4,2,1,29,1,2,2,13,172,9
14_4_1,2,2,1,176,1,2,1,1,109,1
14_5_1,2,2,1,176,1,2,2,1,166,1
14_6_1,2,2,1,176,1,4,1,1,229,1
14_7_1,2,2,1,176,1,4,1,1,29,1
14_8_1,2,2,1,176,1,2,1,13,18,6
14_9_1,2,2,1,176,1,6,1,13,129,9
15_8_1,3,1,1,30,1,2,1,13,18,6
15_9_1,3,1,1,30,1,6,1,13,129,9
16_8_1,2,1,8,201,7,2,1,13,18,6
16_9_1,2,1,8,201,7,6,1,13,129,9
17_9_1,2,3,13,45,2,6,1,13,129,9
18_8_1,2,1,8,90,7,2,1,13,18,6
19_4_1,2,4,8,20,7,2,1,1,109,1
19_5_1,2,4,8,20,7,2,2,1,166,1
19_6_1,2,4,8,20,7,4,1,1,229,1
19_7_1,2,4,8,20,7,4,1,1,29,1
19_8_1,2,4,8,20,7,2,1,13,18,6
19_9_1,2,4,8,20,7,6,1,13,129,9
19_10_1,2,4,8,20,7,2,2,13,172,9
20_8_1,2,1,8,130,7,2,1,13,18,6
43_23_2,2,6,8,207,2,4,1,3,48,3
44_22_2,2,1,3,143,2,1,1,9,57,5
44_23_2,2,1,3,143,2,4,1,3,48,3
44_29_2,2,1,3,143,2,2,1,11,197,9
44_37_2,2,1,3,143,2,2,2,3,157,7
45_22_2,2,2,8,170,7,1,1,9,57,5
45_23_2,2,2,8,170,7,4,1,3,48,3
45_29_2,2,2,8,170,7,2,1,11,197,9
45_35_2,2,2,8,170,7,2,1,2,83,7
46_27_2,2,2,8,39,7,3,1,3,230,9
46_34_2,2,2,8,39,7,4,1,8,175,7
46_35_2,2,2,8,39,7,2,1,2,83,7
47_39_2,2,1,8,39,2,3,5,1,113,1
48_31_2,2,1,12,143,6,2,1,1,197,1
49_30_2,4,1,8,98,7,2,1,1,178,1
49_31_2,4,1,8,98,7,2,1,1,197,1
49_34_2,4,1,8,98,7,4,1,8,175,7
49_35_2,4,1,8,98,7,2,1,2,83,7
49_36_2,4,1,8,98,7,2,2,2,144,4
49_38_2,4,1,8,98,7,1,1,1,90,1
50_27_2,1,6,1,31,1,3,1,3,230,9
50_31_2,1,6,1,31,1,2,1,1,197,1
50_35_2,1,6,1,31,1,2,1,2,83,7
50_38_2,1,6,1,31,1,1,1,1,90,1
51_36_2,2,1,1,98,1,2,2,2,144,4
52_37_2,2,1,1,186,1,2,2,3,157,7
